arm,seed,i,cls,offset,heading,mc,n_base
A,42,4226,two_row,0.22921610973963746,2.9884053492366776,0.05220486079062918,23
A,42,4227,two_row,0.21651277519498635,3.0265681455366984,0.05287276582345454,27
A,42,4228,two_row,0.19886320624277165,3.5420312803616785,0.061898981793124225,30
A,42,4229,two_row,0.20170929533635223,3.622869449731983,0.06331540446079795,31
A,42,4230,two_row,0.21094366277712318,3.573416516234969,0.062448874989534546,27
A,42,4231,two_row,0.22482551229248177,3.690611150232759,0.06450254931188297,31
A,42,4232,two_row,0.2393957488527566,3.3920362226181804,0.05927146347859631,29
A,42,4233,two_row,0.2314419063773318,3.973669264957153,0.0694650216018812,25
A,42,4234,two_row,0.2533793900325786,3.5926037729733986,0.06278506882633096,28
A,42,4235,two_row,0.24860291772651322,3.6401443316927296,0.06361812249660932,30
A,42,4236,two_row,0.2363026291617556,3.732757864563217,0.06524124394605185,29
A,42,4237,two_row,0.2380544569190024,3.803328164335407,0.06647827062466319,30
A,42,4238,two_row,0.2633953548694119,3.404661506214206,0.05949259326073336,33
A,42,4239,two_row,0.25257464659392115,3.382801448936045,0.05910972158324737,29
A,42,4240,two_row,0.246028260051546,3.71067687623576,0.06485422734483973,28
A,42,4241,two_row,0.2438514778384555,3.6225353442798554,0.06330954984625946,32
A,42,4242,two_row,0.2409598280823927,3.934815215896234,0.06878365026410954,26
A,42,4243,two_row,0.2306698559440017,4.275406849130279,0.07475873344813053,24
A,42,4244,two_row,0.22399012304355792,4.381573629395956,0.07662230955315538,26
A,42,4245,two_row,0.21409711986026936,4.296377711795705,0.07512679972128669,28
A,42,4246,two_row,0.20682141728190717,4.28021601573263,0.07484313887553329,26
A,42,4247,two_row,0.1983920472936388,4.1107275946599735,0.07186908769416833,31
A,42,4248,two_row,0.19209687470743464,4.23696040550642,0.07408399994179114,33
A,42,4249,two_row,0.17937909119123496,4.617070250378997,0.0807579575494825,34
A,42,4250,two_row,0.16977062141676325,4.94165552509122,0.08646265702697004,30
A,42,4251,two_row,0.19381535651928217,4.411597212483001,0.07714941759694074,35
A,42,4252,two_row,0.20586068079628117,4.305030204011941,0.0752786682542558,33
A,42,4253,two_row,0.2297839635951171,4.146668664184789,0.07249964626092467,37
A,42,4254,two_row,0.196483435989253,4.598080506834214,0.08042437135790403,33
A,42,4255,two_row,0.19370740493063376,4.144486910326927,0.07246136742861692,31
A,42,4256,two_row,0.18525562366424964,4.136545078890068,0.07232202992163381,31
A,42,4257,two_row,0.17945471360031207,4.17268181294774,0.07295606280394057,33
A,42,4258,two_row,0.2071919506054678,3.6359384805385893,0.06354441979680459,32
A,42,4259,two_row,0.2498304288493275,3.6814154926689495,0.06434138872747747,33
A,42,4260,two_row,0.20845424281676506,4.339372320397315,0.07588147515886398,32
A,42,4261,two_row,0.21899520492634472,4.246780518063198,0.0742563361104134,33
A,42,4262,two_row,0.2745693302546824,3.869822329688565,0.06764403206023695,35
A,42,4263,two_row,0.19930867659924367,3.8920690651382124,0.06803409775930347,31
A,42,4264,two_row,0.19662384317109804,3.675644799089399,0.06424025482725385,32
A,42,4265,two_row,0.24865087618388332,3.0298198829333107,0.052929678174417454,35
A,42,4266,two_row,0.16237329044106796,3.952105485359153,0.06908685643909666,34
A,42,4267,two_row,0.25878369940747586,2.5865316906563036,0.04517418573163761,35
A,42,4268,two_row,0.19593857861593578,3.7118116069283973,0.06487411545743223,36
A,42,4269,two_row,0.21537137417358754,3.3301113397970927,0.05818694249567623,37
A,42,4270,two_row,0.23503400860915502,3.1603152509675376,0.05521391206102892,37
A,42,4271,two_row,0.28181667508703023,2.6112945758257955,0.04560727007374319,39
A,42,4272,two_row,0.26094503056723706,2.887325233214224,0.05043603302381394,34
A,42,4273,two_row,0.2392771972848295,2.905091786148244,0.05074691153296679,37
A,42,4274,two_row,0.2271780706132523,3.1440307084748422,0.054928831180510077,36
A,42,4275,two_row,0.19367470473040788,3.3585026837030796,0.05868415700309086,32
A,42,4276,two_row,0.1583990392471918,3.5099653020789803,0.06133719998049467,32
A,42,4277,two_row,0.2314667912463329,2.791129670414662,0.0487529738154238,33
A,42,4278,two_row,0.2082373889552226,3.254059892210075,0.056855202378737445,34
A,42,4279,two_row,0.23257374470078118,2.805308809174994,0.049001037675841456,33
A,42,4280,two_row,0.2588541024153716,2.75256622387236,0.04807833697555175,35
A,42,4281,two_row,0.27109087986508096,2.4113855886981956,0.04211148478606689,36
A,42,4282,two_row,0.26522588563584604,2.54325407342529,0.04441733307835518,35
A,42,4283,two_row,0.25684623132725015,2.4432617203501588,0.042668827958143855,35
A,42,4284,two_row,0.22344675470912195,2.9929745153116283,0.052284825454049055,37
A,42,4285,two_row,0.23842553216292578,2.491844403704407,0.043518330442604516,32
A,42,4286,two_row,0.22533031239504064,2.488956895280746,0.04346783858090813,33
A,42,4287,two_row,0.2592021645487474,2.106713708166555,0.03678566975731895,34
A,42,4288,two_row,0.25434506430564957,1.6418662635318328,0.02866381851130441,35
A,42,4289,two_row,0.26206226566695634,1.7771587201338332,0.03102722176623037,34
A,42,4290,two_row,0.2270802469557145,2.145530591397222,0.03746408594548086,34
A,42,4291,two_row,0.1918803711635192,2.1618062883480724,0.03774855218125903,35
A,42,4292,two_row,0.2191087674041251,1.7598093353132982,0.030724129210438888,35
A,42,4293,two_row,0.1851747156680148,2.0574867000395995,0.03592536074225767,35
A,42,4294,two_row,0.23938765515647586,1.4400577607692546,0.025139043056644172,33
A,42,4295,two_row,0.1834866850277561,2.0270087690597176,0.035392744086748584,30
A,42,4296,two_row,0.22766956259485038,1.5251510925939875,0.026625197025426137,30
A,42,4297,two_row,0.17622985546149628,2.1312763824757157,0.03721495620325539,30
