arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,3127,two_row,-0.04114810092916754,-5.114881515241248,-0.1685219715717949,-0.010496885779644582,-0.08950942867571975,17,0,
A,42,3128,two_row,-0.20541846607025183,-2.5439787630051107,-0.10130516713138472,0.012445154614657686,-0.04443000625836352,16,1,
A,42,3129,single_row,,,,,,13,0,
A,42,3130,two_row,-0.680177474229631,4.882738744387471,-0.10247395473244991,0.27332749404993983,0.08542676965874496,13,0,slope_mismatch
A,42,3131,two_row,-0.18140633439599524,-3.043249619753798,-0.09493931172009921,-0.011390150048535825,-0.05316473088431752,12,0,
A,42,3132,two_row,-0.5276446605765487,2.137832870705993,-0.08877304126061589,0.16343213622482128,0.037329547482102696,15,0,slope_mismatch
A,42,3133,two_row,-0.2269770639870471,-2.376245107367786,-0.09091948399484429,0.00792529232524776,-0.04149709583479826,13,0,
A,42,3134,two_row,-0.513652507545776,4.538282406107067,0.023089291677085445,0.13565877798201262,0.07937403482954904,17,0,
A,42,3135,two_row,-0.1394074327007751,-1.575207328875581,-0.08997330327421955,0.03497433717898148,-0.02749948304761904,17,0,
A,42,3136,two_row,-0.18440312623992067,-1.5042040208276046,-0.06518081297986561,0.012662120923073483,-0.026259346028396063,14,0,
A,42,3137,two_row,-0.3260796778902292,0.25078659619683763,-0.16766196005999642,0.1764161196128396,0.004377079776421586,16,0,slope_mismatch
A,42,3138,two_row,-0.11582214446034056,-1.3177798847647588,-0.07642379395419754,0.03041648571840973,-0.02300365411789391,12,0,
A,42,3139,two_row,-0.13558660079484747,-1.630985515074694,-0.07395733443177793,0.017009817173123956,-0.028473758629326988,12,0,
A,42,3140,two_row,-0.15127129772756043,0.2126104479424111,-0.09208392493518001,0.09950546368075991,0.0037107693727899474,13,0,
A,42,3141,two_row,0.0982657244566284,-6.359392403663891,-0.20107936102572374,-0.02182139031656556,-0.11145037567114466,15,0,
A,42,3142,two_row,-0.03500516727839442,-3.437524404320584,-0.22097923467149624,0.1008428170715788,-0.06006820879995872,11,0,slope_mismatch
A,42,3143,two_row,0.06471073412387074,-4.1204781363446195,-0.20951897484086862,0.06543867914631708,-0.07204014784727578,11,0,slope_mismatch
A,42,3144,two_row,0.24473628770741662,-8.418872997035688,-0.27668794103413064,-0.01931955417079203,-0.14800374760246132,11,0,slope_mismatch
A,42,3145,two_row,-0.02822757946732901,-1.9905237168911003,-0.1473827688011154,0.07787241596877016,-0.034755176416172616,11,0,slope_mismatch
A,42,3146,two_row,-0.02025096122306702,-3.863604797688081,-0.20363221612923132,0.06856217629901973,-0.0675350199151058,11,0,slope_mismatch
A,42,3147,two_row,-0.017555405046510653,-3.044048215675252,-0.19475362023448928,0.08839620339677118,-0.05317870841885905,12,0,slope_mismatch
A,42,3148,single_row,,,,,,10,0,
A,42,3149,single_row,,,,,,14,0,
A,42,3150,single_row,,,,,,14,0,
A,42,3151,single_row,,,,,,18,0,
