arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,604,none,,,,,,7,0,
A,42,605,none,,,,,,6,0,
A,42,606,none,,,,,,5,0,
A,42,607,single_row,,,,,,6,0,
A,42,608,none,,,,,,5,0,
A,42,609,none,,,,,,5,0,
A,42,610,single_row,,,,,,7,0,
A,42,611,none,,,,,,5,0,
A,42,612,none,,,,,,6,0,
A,42,613,none,,,,,,5,0,
A,42,614,none,,,,,,7,0,
A,42,615,none,,,,,,6,0,
A,42,616,none,,,,,,6,0,
A,42,617,none,,,,,,5,0,
A,42,618,none,,,,,,6,0,
A,42,619,none,,,,,,5,0,
A,42,620,none,,,,,,5,0,
A,42,621,none,,,,,,6,0,
A,42,622,none,,,,,,6,0,
A,42,623,none,,,,,,6,0,
A,42,624,none,,,,,,5,0,
A,42,625,none,,,,,,7,0,
A,42,626,none,,,,,,6,0,
A,42,627,none,,,,,,6,0,
A,42,628,none,,,,,,5,0,
A,42,629,none,,,,,,6,0,
A,42,630,none,,,,,,5,0,
A,42,631,none,,,,,,7,0,
A,42,632,none,,,,,,7,0,
A,42,633,none,,,,,,6,0,
A,42,634,none,,,,,,7,0,
A,42,635,none,,,,,,7,0,
A,42,636,none,,,,,,8,0,
A,42,637,none,,,,,,5,0,
A,42,638,none,,,,,,8,0,
A,42,639,none,,,,,,6,0,
A,42,640,none,,,,,,5,0,
A,42,641,none,,,,,,4,0,
A,42,642,none,,,,,,7,0,
A,42,643,none,,,,,,7,0,
A,42,644,none,,,,,,6,0,
A,42,645,none,,,,,,5,0,
A,42,646,none,,,,,,6,0,
A,42,647,none,,,,,,6,0,
A,42,648,none,,,,,,6,0,
A,42,649,none,,,,,,5,0,
A,42,650,none,,,,,,5,0,
A,42,651,none,,,,,,4,0,
A,42,652,none,,,,,,6,0,
A,42,653,none,,,,,,3,0,
A,42,654,none,,,,,,6,0,
A,42,655,none,,,,,,4,0,
A,42,656,none,,,,,,3,0,
A,42,657,none,,,,,,5,0,
A,42,658,none,,,,,,4,0,
A,42,659,none,,,,,,5,0,
A,42,660,none,,,,,,9,0,
A,42,661,none,,,,,,7,0,
A,42,662,none,,,,,,6,0,
A,42,663,none,,,,,,7,0,
A,42,664,none,,,,,,6,0,
A,42,665,none,,,,,,10,0,
A,42,666,none,,,,,,5,0,
A,42,667,none,,,,,,6,0,
A,42,668,none,,,,,,7,0,
A,42,669,none,,,,,,8,0,
